(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		sandbags (43) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Prop_Crate04 (19) (24 verts)	-1	True	False	False	1	[crate04 (UnityEngine.Material)] 	
		ladder_1 (560 verts)	-1	True	False	False	1	[items_diffuse (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (7) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (10) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		sandbags (9) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (3) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Grill_entrance_LOD0 (1922 verts)	-1	True	False	False	1	[grill_entrance (UnityEngine.Material)] 	
		sandbags (41) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		container_1 (1) (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		sandbags (33) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (7) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (50) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (44) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (47) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		warehouse_ground (121 verts)	-1	True	False	False	1	[Street-T (UnityEngine.Material)] 	
		car3_RightFrontWheel (4) (357 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (10) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Grill_entrance_LOD1 (1296 verts)	-1	True	False	False	1	[grill_entrance (UnityEngine.Material)] 	
		sandbags (44) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		container_2 (7) (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		sandbags (46) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (22) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (61) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (23) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (34) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		car3_RightFrontWheel (1) (357 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		jeep_stepney (208 verts)	-1	True	False	False	1	[Jeep_tire_diffuse (UnityEngine.Material)] 	
		jeep_left_Rear_wheel (208 verts)	-1	True	False	False	1	[Jeep_tire_diffuse (UnityEngine.Material)] 	
		sandbags (47) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (9) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (59) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (60) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (40) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Prop_Crate04 (14) (24 verts)	-1	True	False	False	1	[crate04 (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		car3_RightFrontWheel (2) (357 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		Prop_Crate04 (13) (24 verts)	-1	True	False	False	1	[crate04 (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		jeep_stepney (208 verts)	-1	True	False	False	1	[Jeep_tire_diffuse (UnityEngine.Material)] 	
		jeep_left_Front_wheel (206 verts)	-1	True	False	False	1	[Jeep_tire_diffuse (UnityEngine.Material)] 	
		ware_house_window_frames4 (120 verts)	-1	True	False	False	1	[ware_house_window_frames_mat (UnityEngine.Material)] 	
		sandbags (6) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		sandbags (4) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		Prop_Crate04 (10) (24 verts)	-1	True	False	False	1	[crate04 (UnityEngine.Material)] 	
		Barrel_1 (1112 verts)	-1	True	False	False	1	[Barrel_01 diffuse (UnityEngine.Material)] 	
		Barrel_1 (13) (1112 verts)	-1	True	False	False	1	[Barrel_01 diffuse (UnityEngine.Material)] 	
		jeep_Right_Front_wheel (210 verts)	-1	True	False	False	1	[Jeep_tire_diffuse (UnityEngine.Material)] 	
		container_2 (9) (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		ware_house_ground (121 verts)	-1	True	False	False	1	[Street-T (UnityEngine.Material)] 	
		sandbags (51) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (11) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		sandbags (51) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (4) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Prop_Crate04 (21) (24 verts)	-1	True	False	False	1	[crate04 (UnityEngine.Material)] 	
		ware_house_roof (288 verts)	-1	True	False	False	1	[ware_house_roof1_mat (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		ware_house_containers (132 verts)	-1	True	False	False	1	[ware_house_containers-mat0 (UnityEngine.Material)] 	
		sandbags (40) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_1 (8) (1112 verts)	-1	True	False	False	1	[Barrel_01 diffuse (UnityEngine.Material)] 	
		sandbags (28) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		-mesh (64736 verts)	-1	True	False	False	1	[sandbags-mat (UnityEngine.Material)] 	
		sandbags (17) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		car3_RightFrontWheel (357 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		sandbags (12) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (15) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (27) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		-mesh (64736 verts)	-1	True	False	False	1	[sandbags-mat (UnityEngine.Material)] 	
		Grill_entrance_LOD0 (1922 verts)	-1	True	False	False	1	[grill_entrance (UnityEngine.Material)] 	
		sandbags (37) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (14) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Grill_entrance_LOD2 (595 verts)	-1	True	False	False	1	[grill_entrance (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		container_2 (8) (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		Prop_Crate04 (8) (24 verts)	-1	True	False	False	1	[crate04 (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (53) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (18) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (28) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		-mesh (54315 verts)	-1	True	False	False	1	[sandbags-mat (UnityEngine.Material)] 	
		road_block_1 (2) (46 verts)	-1	True	False	False	1	[road_block1 (UnityEngine.Material)] 	
		car3_LeftRearWheel (361 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		sandbags (19) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		ware_house_big_tube1 (288 verts)	-1	True	False	False	1	[ware_house_big_tube_mat (UnityEngine.Material)] 	
		sandbags (49) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		car3_RightFrontWheel (357 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Grill_entrance_LOD1 (1296 verts)	-1	True	False	False	1	[grill_entrance (UnityEngine.Material)] 	
		sandbags (25) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (56) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (48) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Bench (2) (1014 verts)	-1	True	False	False	1	[Bench_difusejpg (UnityEngine.Material)] 	
		car3_LeftRearWheel (361 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		Barrel_1 (5) (1112 verts)	-1	True	False	False	1	[Barrel_01 diffuse (UnityEngine.Material)] 	
		container_2 (13) (24 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		sandbags (48) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (54) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (20) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (39) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (31) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		warehouse_walls_mesh (31712 verts)	-1	True	False	False	3	[warehouse_walls-mat0 (UnityEngine.Material)] [warehouse_walls-mat1 (UnityEngine.Material)] [warehouse_walls-mat2 (UnityEngine.Material)] 	
		container_4_open (48 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		Grill_entrance_LOD2 (595 verts)	-1	True	False	False	1	[grill_entrance (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Grill_entrance_LOD2 (595 verts)	-1	True	False	False	1	[grill_entrance (UnityEngine.Material)] 	
		warehouse_small_props_mesh (3764 verts)	-1	True	False	False	1	[warehouse_small_props-mat0 (UnityEngine.Material)] 	
		Prop_Crate04 (17) (24 verts)	-1	True	False	False	1	[crate04 (UnityEngine.Material)] 	
		car4_RightRearWheel (359 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		road_block_1 (46 verts)	-1	True	False	False	1	[road_block1 (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		ware_house_big_tube (288 verts)	-1	True	False	False	1	[ware_house_big_tube_mat (UnityEngine.Material)] 	
		sandbags (42) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (45) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		ware_house_window_frames4 (120 verts)	-1	True	False	False	1	[ware_house_window_frames_mat (UnityEngine.Material)] 	
		Prop_Crate04 (2) (24 verts)	-1	True	False	False	1	[crate04 (UnityEngine.Material)] 	
		sandbags (21) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		container_4_open (1) (48 verts)	-1	True	False	False	1	[containers_diffuse (UnityEngine.Material)] 	
		Prop_Crate04 (20) (24 verts)	-1	True	False	False	1	[crate04 (UnityEngine.Material)] 	
		sandbags (34) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (6) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (33) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_1 (2) (1112 verts)	-1	True	False	False	1	[Barrel_01 diffuse (UnityEngine.Material)] 	
		sandbags (21) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (33) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (5) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (14) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		Barrel_HP (1051 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (18) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (22) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (35) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		ware_house_walls (368 verts)	-1	True	False	False	1	[ware_house_walls1_mat (UnityEngine.Material)] 	
		jeep_right_rear_wheel (205 verts)	-1	True	False	False	1	[Jeep_tire_diffuse (UnityEngine.Material)] 	
		jeep_Right_Front_wheel (210 verts)	-1	True	False	False	1	[Jeep_tire_diffuse (UnityEngine.Material)] 	
		sandbags (38) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_SLP (330 verts)	-1	True	False	False	1	[Barrel_Dirt1Paint_Green (UnityEngine.Material)] 	
		sandbags (53) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		ware_house_door (48 verts)	-1	True	False	False	1	[ware_house_doors_mat (UnityEngine.Material)] 	
		sandbags (42) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		car3_RightFrontWheel (5) (357 verts)	-1	True	False	False	1	[car 3 _diffuse (UnityEngine.Material)] 	
		Barrel_1 (3) (1112 verts)	-1	True	False	False	1	[Barrel_01 diffuse (UnityEngine.Material)] 	
		Barrel_1 (7) (1112 verts)	-1	True	False	False	1	[Barrel_01 diffuse (UnityEngine.Material)] 	
		sandbags (36) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (42) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		Barrel_LP (522 verts)	-1	True	False	False	1	[Barrel_Clean1Metal_Metal2 (UnityEngine.Material)] 	
		ware_house_pillars1 (120 verts)	-1	True	False	False	1	[ware_house_pillars_mat (UnityEngine.Material)] 	
		sandbags (13) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
		sandbags (2) (952 verts)	-1	True	False	False	1	[sandbag_01 (UnityEngine.Material)] 	
